"PetalWidth","SepalLength","FlowerSpecies","SepalWidth","PetalLength"
"1,47457699002931","5,97238537280122","VIRGINICA","2,21501589812571","5,02128051583422"
"1,55573361588642","6,00534585583955"," versicolor","2,73298041442409","5,07811646363931"
"0,156507294801995","4,55285815886687","setosa","3,60524568493012","1,02354059573496"
"0,328616009263787","4,46317811898421"," setsoa","2,26448698512046","1,26988187949872"
"0,982654249703046","5,51327656765934","versicolor","2,36646466229577","3,69509664382553"
"1,53510599342408","5,85590046376688"," versicolor ","3,01571652058279","4,16502750666812"
"1,40024870459922","6,10596263560699","versicolor ","2,90305730854394","4,6607693275041"
"1,39613950358005","6,83435946288519","versicolor","2,77812341263518","4,83078489709646"
"1,73529944971902","4,85791051533073"," virginica","2,51955149590503","4,45843433907954"
"0,0598821436008438","4,93755231583957"," set0sa","3,0802668381948","1,52785527009983"
"1,12370167954825","5,05234096394619","versicolor","2,52701090219431","2,97489323173417"
"1,1839607896097","5,81527051568031","versicolor","2,70224756441545","3,85245553234592"
"0,20009769430384","4,89083357524592","SETOSA","2,98741503862664","1,42086464670254"
"1,7782484068023","6,30095641644904"," virginica ","2,73393155067693","4,8822794269817"
"2,05741085922811","6,72854579416569","virginica","3,29164289573207","5,65225926691899"
"1,92019437880488","6,3999106861651","Virginia","2,65894116969314","5,31714842381654"
"0,167391125557479","5,01638869865332"," setosa","3,59189044269035","1,35266630194383"
"1,30900269208243","5,70608162458055","versicolor","2,83856754718581","4,08904783478938"
"1,88916323479963","7,3779925565212","virginica","2,83327455793275","6,07309641496977"
"2,06774334938964","7,08529768361477","virginica","2,98918588871602","5,8948213698878"
"1,03951943799853","4,86818787098862"," versicolour","2,42827486442169","3,30880197075196"
"0,190206857977901","5,52675023506395"," setosa","4,17703187545994","1,35752911970951"
"0,152828399778809","4,80461471357383","setosa","3,12181753680576","1,56624252155656"
"2,33433149023214","6,71804882124532","virginica ","3,02204596407711","5,15940162514336"
"0,328388555885758","5,10062651278684"," setosa ","3,48482331265463","1,42311536854366"
"2,10411216550507","6,87483091115253","virginica","3,08434307256015","5,40647521974752"
"1,77691139107104","6,31620025632903"," virginica","2,90809640527703","5,60675152373733"
"0,322841164765414","4,79943518144777","setosa ","3,02755007088184","1,3851800865191"
"0,235692814656068","4,38115143395495","setosa","2,90909694038099","1,38890282164095"
"1,52668485741364","5,99634690713137","versicolor","2,89646934662014","4,48137706020381"
"0,361457876227796","5,4234191152826","setosa ","3,86339034250705","1,32142019828083"
"0,337199411480688","4,59736453123856","setosa","3,40514893125976","1,42982425008668"
"1,00013909078436","4,96827360448893","versicolor","2,25377701370744","3,30860143780475"
"0,15048280026298","5,0263296912401"," SETOSA","3,39485230933642","1,50335769378347"
"1,26221875277115","5,58334447935456"," versicolor","2,9165557399462","3,57950398844667"
"1,95052623914089","5,57729926537955"," virginica","2,81785098014632","4,8568120431155"
"2,32351866559591","7,71935373422457"," virginica","2,95567843670724","6,10322485178709"
"0,220394722907804","4,81601036994951","setosa","3,3898233740055","1,86605030871695"
"1,83379596572369","6,42550153984455"," virginica","3,09506045292597","5,5167215111712"
"0,183182089410257","5,40121439581737","set0sa","3,67432187903207","1,47644885873189"
"1,03770093867555","5,75236527544679","VERSICOLOR","2,70389219341567","4,1075267229625"
"0,224136931370012","5,09375145054189","set0sa ","3,41622538636439","1,46123401575256"
"0,320870397693943","5,09884129295126"," setosa","3,81422200306551","1,47297392053762"
"2,00605432512006","6,52529941052198","virginica","3,1604843643168","5,12385172185954"
"1,83706194359576","7,21557980843121","virginica","3,20176085565006","6,02234023536788"
"1,29499266415834","5,49996024261694","versicolor ","2,32183187884977","3,9541251167655"
"0,13043260396691","4,25660729576833"," SETOSA","2,97086414169753","1,12879785496742"
"1,48609389222693","5,56228520693025"," versicolor","3,0152370242984","4,46152081809705"
"1,39027874486754","6,11161478266353","versicolor","3,02542208780535","4,60479482631898"
"2,03422011739109","7,85896597425919"," virginica","3,76069547137013","6,39226101859473"
"1,91149989776313","5,7683407314634"," virginica","2,73630553569645","5,10015619770391"
"1,15163468171377","5,78293821244733"," versicolor","2,6172988125938","4,01573535061209"
"0,164897404590156","4,42615761818597","setosa","3,02298005308956","1,29228728198912"
"1,99462510490092","6,47131853359519"," virginica ","2,96709259510739","5,23897490531206"
"2,2883881705231","6,91343900655396","virginica","3,15233718997333","5,73862015460851"
"1,53928478085669","6,65968479477102"," versicolor","3,12774040630087","4,68539562129183"
"1,33000551115256","6,32011619817465","versicolor","2,33272618788527","4,40479624237865"
"1,78111798341386","6,67295951150125","Virginia","2,46238651891006","5,78109353570733"
"0,113525971251074","5,19932389934082","setosa","4,09298837597016","1,4893401305913"
"0,231785221835598","5,45305113686947"," setosa","3,491666535025","1,27062187670032"
"1,41086635984713","5,22254985285224"," versicolor","2,7130160749983","3,85054650232894"
"0,207519024414942","5,18039775264682","setosa ","3,35590174110606","1,35214891993906"
"1,06346440743422","5,63246572722215","versicolor","2,51597359939944","3,85528825854883"
